Discovery Method,Equilibrium Temperature [K],Discovery Year,Planet Radius [Earth Radius],Insolation Flux [Earth Flux],Eccentricity,Controversial Flag,Planet Mass [Earth Mass],Orbital Period [days],Orbit Semi-Major Axis [au],Planet Name
Radial Velocity,1256.407026740775,2015,3.7308383339674833,1839.71022489978,0.0561349910651442,0,3498.473859872717,351.5601481280223,22.566420447571616,iot 87914 1
Transit,1497.0502252286942,2018,13.120271459375893,1184.4928505818352,0.0794839887922212,1,2954.633599809985,407.8678011964165,122.45512967902114,iot 87914 2
Disk Kinematics,1468.65564514911,2015,13.487749197975685,478.4468366869754,0.0371722721947888,0,2155.525200160332,444.42606866042433,104.2680906874498,iot 87914 3
Imaging,1207.158565190799,2019,11.921530791491008,113.10321498605242,0.0673401712821647,1,10827.979541732886,482.8846125488208,188.9689266871301,iot 87914 4
Pulsation Timing Variations,698.4675219393607,2014,11.1582218305646,270.74369126275224,0.0492422046114412,0,7556.841223124446,225.41896789094392,87.19438077728996,HD-3985 1
Microlensing,1437.4421321510342,2016,18.86495286627894,1264.514572805049,0.0423682937723962,1,6198.303645487002,180.5009888327661,71.7467474359814,HD-3985 2
Astrometry,945.349757247872,2015,11.557338985321438,1195.1781633558887,0.1076539378567213,1,1134.4287177571578,296.7290358893739,92.6226640444954,HD-3985 3
Transit Timing Variations,1498.7352739151347,2018,6.372218990657828,2002.8837052995373,0.0739309502685731,1,6882.218192878179,763.6791341641738,18.767121770888792,HD-3985 4
Transit,1478.546055286054,2019,14.041315130489767,1277.59043936297,0.0748520593459483,0,10797.48935278784,255.6944852017141,89.69106985679836,mu2 6646 1
Disk Kinematics,1394.3098406671593,2019,4.076537633348961,1811.847422977902,0.0832139476181281,1,5764.003649615023,864.4753482701856,74.74557959793759,mu2 6646 2
Orbital Brightness Modulation,2416.17466564384,2020,11.1843454337014,585.6057706040976,0.0885831186221932,0,7091.153600170424,244.1541915170035,98.25059178721143,mu2 6646 3
Transit Timing Variations,896.1603859490284,2017,10.846878369464418,2000.612344953999,0.0510413284099004,0,4894.130274391341,528.5816812222721,147.6993598661717,mu2 6646 4
Orbital Brightness Modulation,1418.1003476455824,2018,8.114695232416771,920.2260278436468,0.1190342647061036,0,5339.991056032013,138.2911899102235,71.22726513670659,alf 1727 a
Pulsation Timing Variations,2064.7804617218058,2016,5.549806309082106,1729.6748335823768,0.0355964119146927,1,6397.597867177095,698.4450480249084,118.27675760764504,alf 1727 b
Microlensing,2017.0862900960883,2019,10.888841855014157,1264.8840531690275,0.0428940720645632,0,8064.854591258843,528.1857037925059,151.43929261034714,alf 1727 c
Pulsation Timing Variations,1624.6314854018224,2020,9.124026405459434,36.77494289860579,0.0887283522649201,0,7668.866603556939,223.7632548391192,101.72937607285697,alf 1727 d
Microlensing,2030.1087872058563,2017,10.442045470125604,823.6843813397795,0.0123546521932877,0,4702.156293005309,308.31665926268033,114.17867642884092,omi-1727 a
Transit,1338.756445639273,2020,14.786705934719793,1571.0393754184756,0.1145445297616473,0,2731.732982746454,575.6161137569114,61.79089714329098,omi-1727 b
Radial Velocity,780.9343999361643,2017,8.601689888890425,254.26345671981176,0.0671066618674537,0,6277.998751957444,213.0963352136568,136.7747683161398,omi-1727 c
Eclipse Timing Variations,1459.80352632639,2019,12.78257418369514,1440.5318742595896,0.0179276718571951,0,2122.5447028715957,529.2781567219286,90.00576289956456,omi-1727 d
Disk Kinematics,1249.1466113090596,2019,16.32052470251792,36.182651481996345,0.0629615781310896,1,2267.4844672874224,609.7555351162249,123.8481065025404,WASP 69 a
Transit Timing Variations,1742.5427568594391,2021,0.7298218778925083,435.66773737258006,0.0452272749164395,1,5871.297433171442,593.6278861286157,128.46047091224267,WASP 69 b
Transit Timing Variations,298.34643606688087,2015,22.37542163536278,2120.0775487488377,0.0479785571078779,1,1951.1870397168384,347.5778693824196,22.019089229341063,WASP 69 c
Pulsation Timing Variations,1240.2081545723784,2020,15.403603352445495,1632.7192989866596,0.027199635221556,0,6449.05846013751,393.3639176415252,164.81093253002126,WASP 69 d
Disk Kinematics,1753.086928923197,2016,13.364002506276243,1044.0456046131806,0.03871672125523,0,7376.821264916858,668.3870112236755,174.5695795788336,xi 1090 1
Pulsar Timing,1713.0072962160548,2016,7.291494351483847,2260.7621287009124,0.0125417711063113,0,3963.576520231785,689.2739647153941,25.453436731159428,xi 1090 2
Pulsar Timing,1351.7339029131465,2017,16.36748560645011,834.3820423168031,0.043622855136133,0,10776.317160230526,578.8132622606742,30.087279033247057,xi 1090 3
Pulsar Timing,1565.549776491692,2020,14.256763190754477,1233.2065076351332,0.0305593092385934,0,1828.9592911614784,814.587095673523,97.37981946745252,xi 1090 4
Transit,1452.0404479362114,2016,4.647829394838905,1620.0225853569789,0.0432452400096105,0,6026.347619216303,384.1342646473191,223.60339681398625,gam1 3810 a
Orbital Brightness Modulation,515.3267305482799,2016,11.985259689676177,1556.094637136923,0.0272678264279283,1,8006.7094258543875,194.8692568769663,57.87458581843472,gam1 3810 b
Radial Velocity,1307.6435207446048,2019,9.677612843457895,499.6702936494417,0.0151181042080155,0,3154.323070716815,829.8356438460658,55.37002919246438,gam1 3810 c
Eclipse Timing Variations,1415.5855655241708,2016,22.280141482239934,1129.0306546560737,0.0510417911363049,0,9194.111486392423,1054.176515683052,163.80913809386396,gam1 3810 d
Astrometry,614.0771029613168,2018,14.73370351643316,701.0835746597777,0.0766575239236124,0,4212.092912668279,544.4571684022371,53.34797724582991,TOI 1044 a
Microlensing,1934.78427741942,2019,7.778409168162852,382.6927542530673,0.0207969777072547,1,5271.117516708137,47.72005059472048,117.12779162223823,TOI 1044 b
Pulsation Timing Variations,427.2173726329545,2018,9.888034944198584,1046.218666366738,0.0819485323599046,0,7126.760335531062,900.1485376701227,30.401808545955944,TOI 1044 c
Microlensing,1695.7762329605114,2019,11.647868571057664,1038.4921590507872,0.0420160403571602,0,5239.366173027388,947.9600204592464,48.13588235740408,TOI 1044 d
Transit Timing Variations,1259.2545670342845,2021,13.452370934415502,849.8738666096754,0.062496761682393,0,5416.935201293905,267.86863669774857,114.41271620435876,bet-9110 1
Eclipse Timing Variations,1608.5186150674754,2017,4.001669438767442,695.9436379865097,0.0168040735432083,0,3366.987360876339,1068.2371705699363,142.92051281378332,bet-9110 2
Microlensing,1434.871015578291,2022,19.053153000501364,1445.8849193059996,0.0068714642540537,1,2428.289053952872,621.3305716958068,89.48781156053411,bet-9110 3
Orbital Brightness Modulation,378.7908103112204,2015,13.462498715252408,930.650278692984,0.0858110991316185,1,10018.97231464734,374.4165295042639,31.281045880767792,bet-9110 4
Pulsar Timing,818.6748712682763,2018,20.228298182161883,733.1073818882421,0.0191675685698711,0,5878.834069851378,336.8577257732524,93.86219090168352,EPIC-2180 a
