Discovery Method,Equilibrium Temperature [K],Discovery Year,Planet Radius [Earth Radius],Insolation Flux [Earth Flux],Eccentricity,Controversial Flag,Planet Mass [Earth Mass],Orbital Period [days],Orbit Semi-Major Axis [au],Planet Name
Pulsation Timing Variations,1238.3982473665924,2019,11.684445486996657,1383.6126105414723,0.0119181954893344,1,6707.113798134546,526.5940834581265,32.52043712090922,iot-47148 1
Radial Velocity,39.47140485788509,2020,8.784707652575033,1576.1985828008912,0.0431053764338531,1,5781.900980286474,407.4508370339845,47.42729586590439,iot-47148 2
Transit Timing Variations,729.061017964874,2017,20.56872329686861,1565.3869963414618,0.0735820496439987,1,8649.572261722253,282.8002841786256,184.8408870223289,iot-47148 3
Astrometry,758.1359109917441,2016,9.424676441508606,553.8458624007172,0.0534935970673135,0,8459.291888889551,517.0785837209901,45.22079703605824,GJ 84 1
Pulsation Timing Variations,1364.6042189237778,2022,7.934667363047465,1585.0096804496443,0.0573947280834826,0,8023.757242748401,428.4475694986553,82.38582522101603,GJ 84 2
Pulsation Timing Variations,2231.0390524767863,2020,15.8535372585314,709.0107274480275,0.0242807368914733,0,7173.352513636515,760.3794348284528,162.5622150483137,GJ 84 3
Pulsar Timing,1900.0885754584608,2017,13.850487938635965,841.865518131998,0.0613863661270564,0,3637.4545955113513,638.1430561789914,68.98941925582905,EPIC-1706 a
Microlensing,338.43052664964307,2021,5.75226632050211,610.1116532194872,0.0349543094265497,0,4099.074759692852,136.98106377703982,25.675058979210363,EPIC-1706 b
Transit Timing Variations,336.9292080823891,2018,5.707537676528891,691.6884872859839,0.0642789149094585,0,7062.181072801699,321.88169096512104,69.92154299390793,EPIC-1706 c
Pulsar Timing,1135.6375539502742,2018,1.5453459052106773,1460.312814487656,0.0573644844339944,0,10214.479354766358,560.2293647149859,139.6240634997604,WASP 5469 1
Transit,1262.3029151611706,2017,16.021880973152495,157.3276370436041,0.0563215279578241,0,5640.307557646733,233.2505295811356,133.9548555001316,WASP 5469 2
Disk Kinematics,833.3691667866246,2016,18.028266762636,459.2483348266522,0.063101750513301,1,6239.541841233378,298.4987124682015,52.23306866452552,WASP 5469 3
Transit,787.2169398143592,2015,14.731171227577033,1895.9747247007867,0.0206614632233218,0,2256.7556805560125,1170.3208984879664,52.538736984812566,rho 543 1
Imaging,67.7022979697233,2021,13.3312403904227,934.6769112352164,0.0719778206761259,0,7202.036192873251,438.0001546960483,199.34748056399064,rho 543 2
Pulsar Timing,1296.709519445106,2017,10.996976146748636,451.6834891566376,0.0219040794390778,0,6361.164350683111,845.9998660106694,182.4209585821971,rho 543 3
Imaging,1069.2506053706304,2015,5.504823812843997,2185.721954637467,0.1005533317498128,0,6419.309822608618,487.1064263670293,39.46713359683538,ups-5131 a
Pulsation Timing Variations,770.8781741655694,2017,16.102269031987834,1561.113304547876,0.0432556184404151,1,6053.906124615038,465.6414472894064,94.66627942275532,ups-5131 b
Transit,597.8252533944005,2021,16.52525631736866,1579.3310656444144,0.064929855009739,0,10259.435047108022,146.3800653973646,93.87397792086136,ups-5131 c
Astrometry,864.3021733022163,2021,17.2696617092658,306.0570268528194,0.0372844542252449,0,10597.747928790646,40.04262471909192,78.40576600067962,2MASS-7351 1
Transit Timing Variations,1433.9334252766143,2021,8.105534159037271,1134.3780855459822,0.0296531971877893,0,5386.517778036353,441.6670555536808,113.47559568120168,2MASS-7351 2
Orbital Brightness Modulation,883.3381190820471,2015,9.831597255376318,1904.458143097167,0.0658998235306512,1,4069.094783825015,806.8932796732581,74.68992968346161,2MASS-7351 3
Orbital Brightness Modulation,159.88567656521457,2013,8.843432543647216,1510.6122417898837,0.0905371293243036,0,4010.722278374699,286.4204946131041,7.367198675121344,tau 4017 a
Disk Kinematics,792.4260471802614,2017,13.294392722490263,939.3247392739064,0.0119821419525324,0,8848.675085381665,728.4385018126545,127.8167580243715,tau 4017 b
Disk Kinematics,1046.8400429099183,2019,11.136192166425836,674.5503916157817,0.1045110498484222,0,10523.264663135831,340.74396503923845,92.72724848420118,tau 4017 c
Orbital Brightness Modulation,1178.0353653645495,2017,10.844122191357837,140.70388810807344,0.0318861331154243,1,5903.181585461132,300.08318226671423,90.074378818789,TOI 84 1
Eclipse Timing Variations,1375.324742089338,2019,21.201926347911453,674.1626883422475,0.0888705905746122,1,7199.937306743143,537.6210456884069,165.61004331946378,TOI 84 2
Pulsar Timing,2414.696868219904,2017,9.3813795876621,522.699024457556,0.0667500280394436,0,6378.910327991572,451.9563845955733,86.36813904135978,TOI 84 3
Orbital Brightness Modulation,958.6432480274412,2021,6.42455982768575,837.1103204751718,0.0183391786602213,0,2849.8517230895336,376.595010882804,149.0519253540529,EPIC 19371 a
Pulsar Timing,1999.068815373037,2015,12.833887010720968,1513.7107094736982,0.1282266313944048,1,4638.807828751631,454.3677380446526,135.6282884193733,EPIC 19371 b
Microlensing,364.862305684406,2016,3.126184844927792,1857.4023036296292,0.0272885895371764,0,5730.450048291227,966.9985283121888,84.4185756746792,EPIC 19371 c
Astrometry,1752.1000177855822,2019,9.97690406405312,744.3078649322418,0.0768978758541261,0,5367.6751064384525,283.48440869388963,111.34090412725456,kap-2940 a
Disk Kinematics,878.1253427689476,2021,16.178790230809856,1618.8252180082277,0.0621532794629399,1,5287.967130705296,474.4817282354865,57.90690983582721,kap-2940 b
Orbital Brightness Modulation,1304.588032757326,2019,9.503258959575897,89.32828153202684,0.0923599109536159,0,7582.5937335320305,484.4895258030255,31.679150832112256,kap-2940 c
Eclipse Timing Variations,1805.6320448762692,2017,17.642527951639146,1211.696488718679,0.0738257576649592,1,3350.2530038080768,276.4288864333433,119.88710050361884,gam1 7034 1
