Discovery Method,Equilibrium Temperature [K],Discovery Year,Planet Radius [Earth Radius],Insolation Flux [Earth Flux],Eccentricity,Controversial Flag,Planet Mass [Earth Mass],Orbital Period [days],Orbit Semi-Major Axis [au],Planet Name
Pulsar Timing,579.0184886677536,2016,8.160344737095112,977.2776265129356,0.0359988234797945,0,4254.057197342772,171.77369080558077,165.6513333942213,iot 8767 1
Disk Kinematics,714.2370970492796,2014,18.985150919512957,310.9070915088603,0.0278621511164232,0,1488.0209257057727,469.7556799832472,145.27834421310752,iot 8767 2
Imaging,1686.55913577245,2016,9.383811742813272,1493.774738549882,0.0734611976405107,0,6861.60580610252,143.35266791135916,114.37765883289332,DP-16639 a
Pulsar Timing,565.6433954844866,2019,9.53605377750982,1700.129243036365,0.1049843635123244,1,3868.1143710184506,949.8612504653812,57.73936461508279,DP-16639 b
Eclipse Timing Variations,2098.526344156697,2022,14.20414263009662,220.3259893147731,0.0354531420922178,0,5898.472124520394,221.8070833393911,76.53630295561211,nu 4546 1
Imaging,1352.8119745419897,2021,20.17289637904332,1789.0300082364008,0.0498556293359243,0,5945.648147705309,89.16886751706414,1.3934038853878263,nu 4546 2
Imaging,490.45247661991846,2019,8.471045830846847,2176.1593372056022,0.0405028247879363,0,1493.1447952061749,578.7921224821729,90.536584910946,rho-8478 a
Disk Kinematics,1856.3022905820596,2016,21.57057480490054,1072.4064884850077,0.0483314459518849,0,5565.504612091026,53.57672269639323,43.90910233629561,rho-8478 b
Astrometry,1064.913785606643,2019,9.78434568334284,1513.219125630749,0.0905273535078076,0,5818.46122335837,514.4086340061273,44.33124734915648,ome-2247 a
Transit,937.632781547274,2018,15.541035958206772,2149.1018416945108,0.0034658795358386,0,5310.48932702958,581.6697738096112,54.78717289032255,ome-2247 b
Pulsation Timing Variations,1527.0695471367017,2016,16.925046498531422,1455.607743543797,0.0365379779928116,0,2392.05022394263,316.2022106540137,73.8624481415012,mu-8522 1
Transit Timing Variations,1470.266743402829,2019,11.773277870276813,1550.598144134494,0.0329742272697332,0,5678.4295941833625,207.8774634971512,185.64382420516228,mu-8522 2
Imaging,989.9741219514164,2017,13.779306342358574,1343.1396632380024,0.0327811743138901,0,3989.032209300597,694.5786113574699,102.02587534704288,GJ 5131 a
Microlensing,369.83529877839567,2017,18.454689363415422,1250.060138827621,0.0224794473866592,0,2786.467836236141,665.1468775831113,137.1949047367534,GJ 5131 b
Radial Velocity,1029.212699479086,2017,8.941333097446844,994.220438192756,0.0577327660574633,1,537.8030790795638,719.4522242608995,76.47136555863639,bet-61739 a
Transit Timing Variations,627.2546479474055,2015,8.039338830958108,1843.7806431608392,0.0247527839861529,0,6527.759782321479,1118.653533264011,92.05140284702776,bet-61739 b
Radial Velocity,791.4138513166356,2021,17.739102504150935,1350.647254986864,0.0688490395482005,0,2127.24390903306,576.874793043389,76.7029794151373,kap-92 1
Transit,769.5362382990677,2019,5.657982187725735,133.88333392359198,0.0984842366228658,0,4128.829581110772,413.8651681357907,121.693266857544,kap-92 2
Astrometry,802.6386739422003,2018,6.155573327546019,730.6109792226518,0.042615487540527,0,4387.458180043417,320.7896855168276,87.36036582501468,nu-47148 a
Disk Kinematics,2294.5536293104788,2015,20.14310540456233,862.7412117211613,0.0543828745035328,1,1971.2398986312328,786.42261933179,214.75473967861944,nu-47148 b
Radial Velocity,1167.836564481413,2020,12.95197902168871,1405.8202071681862,0.070143890230429,0,5154.210178796998,864.9111929476803,122.51917593564993,mu-181 1
Pulsar Timing,1030.5638268738262,2019,23.41689847993824,365.4487759283985,0.0717545966650225,1,6698.266599101263,465.7456294956948,156.12438227341798,mu-181 2
Radial Velocity,751.0362809961528,2017,13.67145679496145,1214.109890966026,0.0252868454272337,0,7623.011927393829,518.4154468343778,277.3143582275045,BD 8940 1
Eclipse Timing Variations,1541.344426027851,2019,15.013001902922108,1736.8195668707306,0.0315623218115868,0,4436.8361050561125,370.0645548536856,152.11204324019485,BD 8940 2
Eclipse Timing Variations,243.89606002964024,2018,21.428119933110978,320.18168875670256,0.0991666796940882,0,2012.7688399855765,21.048886903935,88.73270233087146,eps 2015 a
Radial Velocity,1047.7485776540595,2021,1.439609384691222,2027.614479659655,0.0547902717993398,1,4077.062980683976,498.9580619667656,103.22938095765414,eps 2015 b
Imaging,1162.685689954519,2016,15.174364642960462,1267.160976890209,0.0066557868883195,0,4577.845708080176,373.89935853081096,92.89840988499884,BD 7991 1
Disk Kinematics,1454.288244084114,2014,4.564681343401594,1605.7315449701036,0.0421656424930066,0,1660.1659069643747,906.8135830740296,56.62678677927184,BD 7991 2
Orbital Brightness Modulation,1303.5886200619652,2018,10.527691333592823,1116.1286487632644,0.0499669816996593,0,2632.885417242356,485.4499660645037,181.31018033516543,ups-9021 1
