Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
gam1-2224,D3.5V,4248.558365047241,26.53242689709049,0.7750166625292698,1.7189485296438791,4.491626180855,8.261608485043928
alf 6277,A6I-B4.75II,3664.468487328387,20.21994263807082,4.406815841328461,1.5432335793177865,3.5895290424340787,11.560735775203453
TOI 2521,M3.75V,4610.477001276138,68.26748882986927,1.940126191387876,-0.7053866915793288,3.10056972276317,13.62102928932514
kepler Kepler bet 6128,F9IV,5477.71046724855,18.5909970320588,3.8734499484204106,-1.1544654216912866,3.9535868633669007,1880302879.0
kepler gam1 1596,F9.75V,3091.37829732866,24.09245292624544,0.3721835610921111,0.5935395424297767,4.302277524725544,1944291466.0
Kepler omi-8987,L4.75II,1750.335891725338,31.599712806895354,1.3331534216685608,-2.5833528364813416,1.8652944074503448,9.15584865037156
kepler psi1-9362,L9.25II,9170.051148247176,13.639969016246477,2.626374811616976,-0.6603739568499906,4.73927074784573,1142834248.0
Kepler kap-1285,K6.5-T6.25III,7105.551308872076,13.748989620935795,3.9785369298341857,-3.0247272143887507,3.0556843563462897,7.567782612650266
Kepler kap 4717,D0.75,6604.569021233207,31.3481377966322,4.0838997282663,-0.419389559045062,3.554616946516409,10.84482236347181
DP-8666,G9.75III,5948.576510011775,14.783633203943356,2.1789805849535826,0.0227688408888121,2.1823621456768407,8.969838781827324
eps-8050,D0II,7597.487559520944,26.20518296355193,2.924813604161262,2.8190376727498427,3.039281247223502,10.358205659358989
mu2-2270,D8IV,4193.165188100876,56.55940935948405,0.4664636891698581,2.739480355909143,1.7528144489594657,6.198105091841456
mu 1649,M9.75-V,5238.438985869151,28.57596384728749,3.787499724138909,-0.0842061898263617,3.707449671837722,0.1065782267337702
Kepler rho-9143,G2,4041.369389084394,2.1791518808362618,1.571371393075751,-3.1785177300755434,4.194690504567497,2.0291166806176983
CoRoT-633,K0.5,8205.058582903206,12.254195657820889,3.873090317141175,2.550486151124745,4.694159855406024,5.5700740711210015
GJ 90,A1.75/,5005.994042814285,30.538737986153212,4.303496722211437,0.3275249522771044,3.794570822843333,7.95038230950511
2MASS 9368,TVI/III,6873.852779850413,43.93405087871203,2.6300417040557647,0.079691650176343,5.743385742707926,3.305351001315876
omi 7786,TI,2797.472066676524,6.001255903265633,5.57418003603954,-1.4596671403234447,4.205983995790372,8.49119951489828
mu 3737,AIII,5346.644350700731,50.65891552095449,1.6476336897142891,-1.0981669924922477,4.835254144740771,9.951984058268774
kepler bet-4536,M5,5326.015316334249,26.55760538157584,2.718441275727942,0.3880655428079079,3.937284446222229,1524304395.0
kepler nu 2332,M7IV,4877.067627775784,20.80885574559345,0.7563734287343262,0.9713880397026812,4.106318763708019,1219752724.0
kepler kap-2918,D2.5V,3957.3041844191994,26.521678862028374,0.9845389265346598,1.662514372708339,4.195401473892925,1674646833.0
rho-7287,K7.75,5879.109142593303,16.816365094049182,1.1448503620349624,0.9370782043338812,6.864332844477099,2.509966931740915
kepler Kepler alf 5412,F4.75I,5227.286094792192,33.89906675997503,0.6266356071618642,0.5185455475522704,1.1741066384308194,1576049381.0
Kepler mu2-6523,B9V,7286.053764926729,32.29911773010694,2.7855203720068,0.5907868295367278,4.245223491088171,2.986851632201722
alf 6482,K9.5III,5196.305333108083,31.04982609831832,3.203050418458781,-0.9507577677377976,6.2032015112949095,12.010872929858843
kepler ome 7340,F8.25I,3152.287435561328,17.93779523182232,3.942838534325547,0.1933829956546416,4.642477790929208,1238628522.0
ups 7467,M8.5,1925.3941636239133,25.262622418624662,2.178944436980991,0.3621090414398277,1.7348358115622478,1.171067596119558
gam1 8280,W7IV,5598.619193152696,40.75570586446935,1.5988471520368313,-0.2383215635911095,4.48072601501088,1.6691223225943324
