,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Normal,0.5,2.0,0.0,2.0,0.0,1.0,0.5,1.0,1.0,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,1.0
Fire,0.5,0.5,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.5,2.0,0.0,2.0,1.0,0.5
Water,0.0,1.0,0.0,0.5,0.0,0.5,2.0,2.0,0.0,1.0,1.0,0.0,0.5,2.0,0.0,2.0,2.0,2.0
Electric,1.0,2.0,0.0,1.0,0.5,2.0,0.5,2.0,2.0,0.0,0.5,0.5,0.0,0.5,2.0,2.0,2.0,0.5
Grass,2.0,0.5,1.0,0.5,0.5,0.5,2.0,0.5,1.0,0.5,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0
Ice,0.0,1.0,0.5,0.0,2.0,2.0,0.0,2.0,0.5,2.0,0.0,1.0,0.5,2.0,0.0,0.5,0.5,0.5
Fighting,0.0,0.5,0.5,0.0,0.5,0.5,2.0,0.5,0.5,0.0,0.0,0.5,2.0,0.0,0.0,0.5,0.5,0.0
Poison,0.0,0.5,1.0,2.0,2.0,2.0,0.0,2.0,0.5,1.0,0.0,1.0,0.0,1.0,2.0,0.5,2.0,0.0
Ground,0.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5
Flying,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Psychic,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5
Bug,0.5,1.0,2.0,1.0,1.0,0.0,0.0,0.5,0.5,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
Rock,1.0,2.0,2.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,2.0,2.0,0.0,2.0,2.0,1.0
Ghost,2.0,2.0,0.5,2.0,1.0,2.0,0.0,0.5,0.0,1.0,0.5,2.0,0.5,0.5,0.0,2.0,1.0,2.0
Dragon,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0
Dark,0.0,0.5,0.0,2.0,0.5,1.0,0.5,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.5,1.0,0.5,1.0
Steel,2.0,1.0,2.0,0.5,0.5,1.0,0.0,1.0,0.5,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.5,0.0
Fairy,0.5,2.0,0.5,2.0,2.0,0.5,0.5,0.0,2.0,1.0,0.0,0.5,0.5,2.0,0.5,1.0,2.0,0.5
