,Name,Attack,Defense,HP,Region,Sp. Atk,Sp. Def,Speed,Type 1,Type 2
0,Bulbasaur,94,110,256,Kanto,141,164,224,Fire,DNE
1,Ivysaur,110,93,171,Kanto,224,3,136,Dark,DNE
2,Venusaur,52,219,12,Galar,28,220,224,Normal,DNE
3,Charmander,246,225,58,Sinnoh,248,114,84,Water,DNE
4,Charmeleon,14,247,168,Galar,168,7,57,Dragon,DNE
5,Charizard,248,44,38,Hoenn,28,191,181,Fire,DNE
6,Squirtle,110,79,44,Kalos,193,229,175,Electric,DNE
7,Wartortle,56,32,197,Paldea,100,19,126,Rock,DNE
8,Blastoise,120,180,2,Galar,23,120,167,Bug,DNE
9,Caterpie,18,120,54,Sinnoh,122,184,252,Normal,DNE
10,Metapod,129,91,239,Kanto,85,87,184,Poison,DNE
11,Butterfree,153,196,148,Paldea,214,207,7,Dragon,DNE
12,Weedle,113,143,43,Unova,132,130,60,Fire,DNE
13,Kakuna,181,182,65,Sinnoh,44,218,54,Electric,DNE
14,Beedrill,99,221,9,Hoenn,205,247,107,Fairy,DNE
15,Pidgey,97,195,154,Kalos,225,49,154,Grass,DNE
16,Pidgeotto,68,140,35,Johto,62,160,137,Poison,DNE
17,Pidgeot,11,145,11,Kalos,182,52,235,Ice,DNE
18,Rattata,122,246,12,Hoenn,47,37,163,Dragon,DNE
19,Raticate,224,16,242,Alola,207,171,30,Fighting,DNE
20,Spearow,39,231,145,Paldea,240,40,144,Rock,DNE
21,Fearow,222,87,56,Hoenn,204,199,115,Psychic,DNE
22,Ekans,59,152,7,Hoenn,16,247,227,Poison,DNE
23,Arbok,203,199,13,Sinnoh,10,12,79,Electric,DNE
24,Pikachu,78,100,221,Johto,137,223,25,Rock,DNE
25,Raichu,80,123,245,Unova,130,232,110,Flying,DNE
26,Sandshrew,78,13,206,Kanto,37,107,105,Bug,DNE
27,Sandslash,182,204,4,Hoenn,201,64,97,Ground,DNE
28,Nidorina,42,86,11,Alola,141,256,183,Steel,DNE
29,Nidoqueen,177,210,232,Sinnoh,28,111,146,Dark,DNE
30,Nidorino,3,241,198,Kanto,84,135,99,Psychic,DNE
31,Nidoking,46,199,84,Alola,140,58,154,Bug,DNE
32,Clefairy,198,38,142,Unova,143,18,181,Flying,DNE
33,Clefable,126,87,91,Paldea,46,51,106,Normal,DNE
34,Vulpix,76,75,103,Johto,48,14,229,Normal,DNE
35,Ninetales,100,81,229,Kalos,155,1,110,Normal,DNE
36,Jigglypuff,8,247,212,Johto,152,141,1,Fighting,DNE
37,Wigglytuff,45,181,32,Johto,141,221,73,Dragon,DNE
38,Zubat,253,192,122,Kalos,184,92,68,Fairy,DNE
39,Golbat,136,30,2,Johto,75,249,233,Electric,DNE
40,Oddish,186,147,25,Galar,68,219,91,Dragon,DNE
41,Gloom,161,138,85,Kalos,91,59,254,Psychic,DNE
42,Vileplume,16,178,2,Sinnoh,234,56,204,Fire,DNE
43,Paras,29,191,255,Kanto,250,198,171,Electric,DNE
44,Parasect,226,81,7,Paldea,39,52,208,Ghost,DNE
45,Venonat,159,89,50,Sinnoh,25,109,192,Psychic,DNE
46,Venomoth,207,104,214,Sinnoh,41,169,98,Ground,DNE
47,Diglett,1,91,11,Kalos,162,229,90,Rock,DNE
48,Dugtrio,171,168,140,Kalos,213,42,124,Grass,DNE
49,Meowth,196,95,222,Sinnoh,245,162,6,Normal,DNE
50,Persian,238,187,186,Galar,221,195,21,Electric,DNE
51,Psyduck,139,193,18,Galar,233,197,223,Electric,DNE
52,Golduck,243,33,128,Unova,131,42,196,Fairy,DNE
53,Mankey,245,164,70,Paldea,238,129,125,Fire,DNE
54,Primeape,150,103,60,Kalos,144,24,227,Ghost,DNE
55,Growlithe,124,236,214,Unova,30,59,119,Grass,DNE
56,Arcanine,215,184,151,Hoenn,93,231,69,Dark,DNE
57,Poliwag,24,35,218,Kalos,172,250,156,Ice,DNE
58,Poliwhirl,193,27,79,Alola,24,8,74,Water,DNE
59,Poliwrath,57,167,82,Paldea,157,39,216,Poison,DNE
60,Abra,106,138,205,Johto,36,230,141,Normal,DNE
61,Kadabra,25,84,175,Hoenn,30,163,91,Steel,DNE
62,Alakazam,47,228,107,Kalos,24,230,57,Fairy,DNE
63,Machop,254,182,169,Kanto,36,39,15,Steel,DNE
64,Machoke,50,51,113,Paldea,50,174,164,Ground,DNE
65,Machamp,207,161,168,Kalos,219,74,211,Electric,DNE
66,Bellsprout,247,86,255,Johto,112,129,18,Dragon,DNE
67,Weepinbell,146,49,111,Alola,181,84,212,Fairy,DNE
68,Victreebel,186,214,93,Kalos,179,17,38,Normal,DNE
69,Tentacool,254,216,71,Kanto,151,81,15,Fighting,DNE
70,Tentacruel,181,140,139,Kalos,48,106,158,Psychic,DNE
71,Geodude,102,64,139,Galar,188,98,3,Bug,DNE
72,Graveler,214,182,133,Alola,163,73,163,Dark,DNE
73,Golem,240,190,232,Galar,157,141,47,Ground,DNE
74,Ponyta,169,46,182,Unova,122,124,170,Normal,DNE
75,Rapidash,60,95,169,Paldea,202,94,180,Poison,DNE
76,Slowpoke,47,127,240,Paldea,51,131,33,Dragon,DNE
77,Slowbro,171,238,35,Paldea,109,83,236,Grass,DNE
78,Magnemite,105,173,79,Kalos,2,190,14,Electric,DNE
79,Magneton,116,107,86,Kanto,8,112,233,Rock,DNE
80,Doduo,248,220,216,Galar,117,39,25,Ground,DNE
81,Dodrio,225,152,202,Galar,238,190,91,Dragon,DNE
82,Seel,73,199,156,Hoenn,253,85,124,Fire,DNE
83,Dewgong,132,234,234,Unova,159,126,228,Poison,DNE
84,Grimer,95,120,42,Sinnoh,165,166,111,Poison,DNE
85,Muk,117,71,42,Sinnoh,255,65,43,Bug,DNE
86,Shellder,160,167,47,Galar,117,75,82,Normal,DNE
87,Cloyster,167,178,126,Hoenn,41,40,109,Water,DNE
88,Gastly,138,150,56,Kalos,76,177,225,Normal,DNE
89,Haunter,206,39,49,Sinnoh,173,225,84,Psychic,DNE
90,Gengar,199,118,39,Galar,202,87,129,Water,DNE
91,Onix,224,235,121,Unova,255,186,135,Ground,DNE
92,Drowzee,67,122,84,Paldea,62,174,194,Steel,DNE
93,Hypno,42,54,172,Johto,54,253,197,Dragon,DNE
94,Krabby,214,18,173,Kalos,184,148,110,Fire,DNE
95,Kingler,214,14,77,Alola,220,128,108,Flying,DNE
96,Voltorb,165,99,172,Kalos,44,256,173,Rock,DNE
97,Electrode,48,249,208,Sinnoh,60,209,89,Ice,DNE
98,Exeggcute,160,226,84,Alola,116,158,189,Fairy,DNE
99,Exeggutor,54,168,213,Kalos,8,21,239,Ice,DNE
100,Cubone,180,225,221,Sinnoh,185,194,130,Normal,DNE
101,Marowak,179,27,253,Kalos,124,202,130,Normal,DNE
102,Hitmonlee,168,231,130,Alola,90,53,30,Bug,DNE
103,Hitmonchan,70,67,237,Hoenn,136,199,135,Grass,DNE
104,Lickitung,6,153,209,Hoenn,110,213,167,Flying,DNE
105,Koffing,4,81,221,Alola,91,196,130,Ghost,DNE
106,Weezing,228,242,94,Paldea,104,50,145,Dragon,DNE
107,Rhyhorn,1,118,133,Galar,70,244,180,Dragon,DNE
108,Rhydon,46,212,38,Sinnoh,142,149,222,Ghost,DNE
109,Chansey,115,141,197,Kanto,75,44,248,Rock,DNE
110,Tangela,167,153,119,Galar,11,107,164,Ice,DNE
111,Kangaskhan,174,37,254,Galar,219,210,242,Ice,DNE
112,Horsea,2,230,224,Kanto,207,206,195,Psychic,DNE
113,Seadra,9,77,55,Hoenn,103,216,156,Ice,DNE
114,Goldeen,209,243,255,Galar,63,71,217,Flying,DNE
115,Seaking,65,158,215,Kalos,131,222,103,Flying,DNE
116,Staryu,115,156,5,Galar,171,44,69,Steel,DNE
117,Starmie,241,87,109,Unova,45,217,158,Flying,DNE
118,Scyther,107,171,114,Hoenn,37,146,66,Psychic,DNE
119,Jynx,158,213,91,Galar,71,97,91,Water,DNE
120,Electabuzz,183,194,22,Paldea,237,226,45,Rock,DNE
121,Magmar,61,128,61,Alola,133,142,72,Ghost,DNE
122,Pinsir,14,240,248,Johto,49,234,235,Steel,DNE
123,Tauros,77,155,150,Alola,230,117,229,Rock,DNE
124,Magikarp,185,102,38,Kalos,241,143,211,Ground,DNE
125,Gyarados,41,161,137,Paldea,217,157,165,Fire,DNE
126,Lapras,138,55,58,Johto,49,238,228,Psychic,DNE
127,Ditto,28,162,60,Unova,177,175,13,Fire,DNE
128,Eevee,199,109,39,Kanto,244,70,143,Psychic,DNE
129,Vaporeon,226,170,73,Unova,235,89,193,Dragon,DNE
130,Jolteon,124,46,185,Unova,83,211,110,Ghost,DNE
131,Flareon,39,131,38,Johto,175,99,36,Ground,DNE
132,Porygon,155,181,70,Kalos,72,112,34,Flying,DNE
133,Omanyte,114,46,256,Alola,26,160,130,Fighting,DNE
134,Omastar,164,185,161,Kanto,53,21,199,Fairy,DNE
135,Kabuto,46,54,160,Hoenn,117,110,39,Normal,DNE
136,Kabutops,93,209,42,Hoenn,35,10,75,Dragon,DNE
137,Aerodactyl,119,144,220,Sinnoh,2,100,13,Dark,DNE
138,Snorlax,105,226,20,Johto,85,75,140,Bug,DNE
139,Articuno,202,218,160,Kalos,90,180,107,Flying,DNE
140,Zapdos,35,79,234,Alola,41,77,81,Fairy,DNE
141,Moltres,186,220,22,Kalos,144,240,11,Water,DNE
142,Dratini,186,250,88,Sinnoh,251,60,117,Normal,DNE
143,Dragonair,195,256,24,Alola,175,34,63,Dragon,DNE
144,Dragonite,47,29,137,Galar,127,84,116,Flying,DNE
145,Mewtwo,238,99,72,Johto,207,69,255,Flying,DNE
146,Mew,135,11,182,Hoenn,125,174,67,Water,DNE
147,Chikorita,189,108,217,Unova,147,13,255,Poison,DNE
148,Bayleef,71,22,204,Kalos,111,131,212,Fire,DNE
149,Meganium,230,201,9,Paldea,176,50,22,Poison,DNE
150,Cyndaquil,1,254,218,Galar,218,214,57,Normal,DNE
151,Quilava,254,149,68,Johto,221,133,26,Ground,DNE
152,Typhlosion,218,205,166,Kanto,14,220,249,Ground,DNE
153,Totodile,23,143,189,Sinnoh,234,152,32,Flying,DNE
154,Croconaw,111,91,45,Johto,9,199,43,Poison,DNE
155,Feraligatr,2,59,19,Kanto,35,102,220,Psychic,DNE
156,Sentret,95,143,250,Unova,82,30,224,Rock,DNE
157,Furret,155,149,185,Johto,183,136,256,Fighting,DNE
158,Hoothoot,63,37,99,Hoenn,201,215,63,Ice,DNE
159,Noctowl,250,159,131,Alola,22,27,30,Bug,DNE
160,Ledyba,219,60,56,Johto,171,69,95,Ice,DNE
161,Ledian,82,72,114,Sinnoh,231,38,55,Ground,DNE
162,Spinarak,85,76,150,Galar,153,251,250,Grass,DNE
163,Ariados,95,81,72,Kalos,230,100,256,Ground,DNE
164,Crobat,198,182,251,Paldea,159,172,34,Bug,DNE
165,Chinchou,129,215,242,Kalos,160,168,90,Fire,DNE
