,Name,Attack,Defense,HP,Region,Sp. Atk,Sp. Def,Speed,Type 1,Type 2
0,Bulbasaur,170,189,248,Galar,141,31,85,Fairy,DNE
1,Ivysaur,212,125,75,Kalos,26,173,119,Fire,Dragon
2,Venusaur,171,142,227,Sinnoh,249,19,243,Bug,Fighting
3,Charmander,105,47,208,Paldea,211,188,188,Fighting,Ghost
4,Charmeleon,171,251,9,Kanto,1,219,101,Ghost,DNE
5,Charizard,252,5,72,Kanto,69,7,243,Fire,Grass
6,Squirtle,10,36,134,Paldea,106,22,21,Poison,Ghost
7,Wartortle,125,228,67,Kalos,98,161,3,Normal,Fighting
8,Blastoise,85,207,230,Sinnoh,195,117,171,Poison,DNE
9,Caterpie,62,195,238,Sinnoh,244,247,77,Water,Normal
10,Metapod,17,63,109,Alola,150,12,49,Ghost,Bug
11,Butterfree,249,240,203,Galar,217,36,134,Dragon,Water
12,Weedle,145,102,169,Alola,234,112,199,Ice,DNE
13,Kakuna,62,155,47,Galar,241,185,158,Flying,Normal
14,Beedrill,89,148,188,Johto,44,248,103,Dark,Ghost
15,Pidgey,71,53,190,Sinnoh,178,120,87,Dragon,Water
16,Pidgeotto,167,236,171,Unova,158,92,81,Fairy,Ice
17,Pidgeot,31,163,79,Kanto,195,65,193,Ice,Fighting
18,Rattata,85,18,171,Paldea,64,174,200,Steel,DNE
19,Raticate,214,5,140,Alola,39,208,206,Steel,Dragon
20,Spearow,235,124,251,Kanto,149,56,95,Electric,Bug
21,Fearow,223,99,200,Paldea,157,210,218,Psychic,Ghost
22,Ekans,59,119,197,Unova,229,138,156,Bug,Fire
23,Arbok,238,107,153,Paldea,139,77,182,Bug,Ground
24,Pikachu,164,173,116,Alola,71,217,69,Ghost,Dragon
25,Raichu,159,149,104,Paldea,216,240,245,Fire,Electric
26,Sandshrew,5,189,26,Paldea,238,140,49,Electric,Water
27,Sandslash,155,252,215,Alola,244,121,89,Grass,Electric
28,Nidorina,121,126,131,Unova,157,126,66,Ground,Poison
29,Nidoqueen,201,95,4,Kalos,96,73,211,Grass,DNE
30,Nidorino,87,133,256,Kalos,195,141,227,Ground,Ice
31,Nidoking,216,63,242,Johto,147,255,244,Fairy,Water
32,Clefairy,49,82,82,Paldea,233,226,56,Flying,DNE
33,Clefable,68,184,96,Alola,225,161,169,Ground,DNE
34,Vulpix,159,21,89,Kanto,5,166,97,Fairy,Ground
35,Ninetales,31,39,50,Kalos,92,96,44,Fairy,Poison
36,Jigglypuff,43,27,152,Unova,13,22,233,Water,Flying
37,Wigglytuff,85,58,35,Johto,101,22,215,Bug,Poison
38,Zubat,119,247,136,Unova,218,181,103,Ice,Ground
39,Golbat,164,211,28,Kanto,132,9,238,Fighting,DNE
40,Oddish,34,248,98,Hoenn,20,72,207,Grass,Dragon
41,Gloom,29,235,224,Paldea,28,235,170,Water,Fairy
42,Vileplume,106,203,236,Kanto,135,248,100,Rock,Fighting
43,Paras,74,158,117,Unova,50,101,225,Grass,Rock
44,Parasect,213,205,216,Unova,188,170,86,Ground,Dark
45,Venonat,46,153,47,Kanto,21,116,109,Water,Grass
46,Venomoth,87,252,139,Sinnoh,238,40,205,Normal,DNE
47,Diglett,245,58,163,Alola,130,36,15,Flying,Bug
48,Dugtrio,99,142,50,Paldea,44,193,167,Fire,Steel
49,Meowth,80,56,181,Galar,81,88,97,Ice,Rock
50,Persian,24,111,144,Galar,68,138,211,Ice,Bug
51,Psyduck,74,144,52,Paldea,197,186,101,Fire,Water
52,Golduck,161,227,105,Alola,242,17,22,Ghost,DNE
53,Mankey,89,205,98,Paldea,15,41,46,Electric,Ghost
54,Primeape,116,61,97,Kalos,144,183,109,Grass,Fire
55,Growlithe,147,96,3,Johto,91,13,198,Ground,Steel
56,Arcanine,149,148,198,Hoenn,115,128,111,Dark,Steel
57,Poliwag,17,24,98,Paldea,159,18,216,Electric,Ground
58,Poliwhirl,153,214,226,Sinnoh,156,165,205,Fighting,Ghost
59,Poliwrath,227,37,165,Paldea,242,256,206,Flying,Bug
60,Abra,109,12,247,Hoenn,13,193,154,Flying,Electric
61,Kadabra,97,85,225,Unova,14,240,83,Rock,Electric
62,Alakazam,51,86,228,Galar,248,155,66,Grass,Water
63,Machop,195,130,78,Alola,93,230,106,Flying,DNE
64,Machoke,63,205,12,Kanto,59,215,177,Fairy,DNE
65,Machamp,202,54,199,Unova,106,245,125,Water,DNE
66,Bellsprout,38,69,59,Galar,10,124,171,Electric,Ice
67,Weepinbell,69,235,221,Johto,79,207,166,Bug,Fairy
68,Victreebel,33,119,86,Kalos,39,210,13,Ice,Normal
69,Tentacool,191,46,101,Kanto,237,39,81,Bug,DNE
70,Tentacruel,90,52,14,Paldea,240,66,81,Flying,DNE
71,Geodude,192,97,53,Paldea,250,98,138,Psychic,Ice
72,Graveler,149,104,186,Kanto,124,34,27,Bug,Water
73,Golem,101,199,117,Paldea,130,231,166,Fighting,DNE
74,Ponyta,125,172,195,Kanto,158,165,255,Steel,Psychic
75,Rapidash,18,6,70,Unova,128,175,131,Psychic,Ground
76,Slowpoke,88,23,201,Paldea,113,110,221,Dragon,Water
77,Slowbro,167,64,100,Unova,44,40,170,Rock,Flying
78,Magnemite,223,227,206,Unova,249,222,194,Steel,DNE
79,Magneton,53,90,117,Alola,27,23,253,Rock,Bug
80,Doduo,30,105,11,Unova,61,206,190,Fire,Electric
81,Dodrio,122,113,153,Paldea,125,99,220,Electric,Ghost
82,Seel,253,188,173,Unova,210,158,245,Ghost,Ice
83,Dewgong,230,90,193,Kanto,217,116,121,Fighting,Dark
84,Grimer,123,209,226,Unova,254,154,42,Normal,DNE
85,Muk,94,200,115,Hoenn,66,29,16,Psychic,DNE
86,Shellder,226,200,205,Johto,180,181,193,Dark,Fire
87,Cloyster,164,247,50,Galar,46,155,151,Electric,Poison
88,Gastly,41,203,54,Galar,60,36,108,Normal,Grass
89,Haunter,55,79,123,Hoenn,160,186,67,Fairy,Rock
90,Gengar,238,134,82,Kanto,84,236,219,Ground,Ghost
91,Onix,123,14,1,Galar,65,237,244,Grass,DNE
92,Drowzee,47,200,25,Alola,48,163,149,Ghost,Water
93,Hypno,142,179,77,Sinnoh,126,86,247,Rock,Electric
94,Krabby,135,250,31,Johto,108,34,192,Ice,Water
95,Kingler,154,181,157,Galar,91,141,219,Fairy,Rock
96,Voltorb,47,161,241,Kanto,207,71,49,Poison,Steel
97,Electrode,210,211,224,Kanto,28,24,85,Poison,Fighting
98,Exeggcute,24,134,189,Paldea,144,83,255,Dark,Poison
99,Exeggutor,52,53,244,Hoenn,19,71,252,Grass,Water
100,Cubone,83,195,110,Unova,177,190,109,Bug,Flying
101,Marowak,61,223,194,Kanto,195,132,88,Flying,Steel
102,Hitmonlee,182,8,109,Sinnoh,31,82,94,Normal,Bug
103,Hitmonchan,213,98,170,Johto,235,13,228,Bug,Grass
104,Lickitung,111,117,238,Paldea,10,93,120,Fire,Fairy
105,Koffing,190,118,248,Galar,235,159,100,Ice,Dark
106,Weezing,138,72,30,Kalos,125,54,99,Grass,Psychic
107,Rhyhorn,183,51,85,Hoenn,20,25,40,Flying,Psychic
108,Rhydon,97,116,53,Sinnoh,23,229,167,Psychic,Dark
109,Chansey,144,76,223,Paldea,28,87,14,Fairy,Psychic
110,Tangela,236,27,31,Hoenn,149,179,118,Ground,Flying
111,Kangaskhan,90,103,159,Kalos,78,136,71,Flying,Fire
112,Horsea,32,107,206,Unova,230,11,121,Fighting,Bug
113,Seadra,216,179,224,Alola,160,101,21,Bug,DNE
114,Goldeen,220,141,82,Paldea,45,54,196,Fire,Normal
115,Seaking,20,168,26,Sinnoh,116,146,26,Grass,Bug
116,Staryu,33,63,93,Unova,93,136,115,Flying,DNE
117,Starmie,38,176,81,Hoenn,224,119,143,Rock,DNE
118,Scyther,46,135,108,Alola,15,148,107,Bug,DNE
119,Jynx,233,247,108,Hoenn,143,209,81,Fighting,DNE
120,Electabuzz,108,62,82,Unova,35,99,146,Dark,Fighting
121,Magmar,203,197,201,Paldea,127,149,131,Fighting,Water
122,Pinsir,58,231,209,Galar,94,14,44,Fire,Ground
123,Tauros,37,54,169,Galar,114,219,160,Rock,DNE
124,Magikarp,147,68,88,Kalos,234,141,45,Bug,DNE
125,Gyarados,10,89,256,Sinnoh,230,229,175,Fire,Fighting
126,Lapras,234,89,66,Paldea,247,128,47,Flying,Steel
127,Ditto,6,158,227,Paldea,125,9,227,Rock,Fighting
128,Eevee,256,179,84,Paldea,30,23,188,Dragon,DNE
129,Vaporeon,223,208,234,Unova,49,59,108,Dragon,Electric
130,Jolteon,255,2,250,Sinnoh,86,235,37,Poison,Water
131,Flareon,95,82,237,Sinnoh,178,49,63,Grass,Water
132,Porygon,16,218,186,Sinnoh,165,53,113,Psychic,DNE
133,Omanyte,165,3,31,Alola,100,256,158,Psychic,DNE
134,Omastar,105,231,99,Sinnoh,195,255,58,Dark,Water
135,Kabuto,138,151,188,Sinnoh,171,49,182,Poison,Dragon
136,Kabutops,75,78,78,Johto,110,207,205,Fire,Ice
137,Aerodactyl,202,28,118,Hoenn,256,138,64,Electric,DNE
138,Snorlax,104,80,246,Alola,123,135,109,Ground,Fighting
139,Articuno,128,134,86,Sinnoh,140,34,47,Fairy,DNE
140,Zapdos,204,45,37,Kanto,129,32,25,Steel,Poison
141,Moltres,178,191,227,Kalos,190,11,10,Flying,Normal
142,Dratini,66,189,145,Hoenn,8,11,168,Steel,Ghost
143,Dragonair,7,71,224,Unova,12,146,133,Bug,Ice
144,Dragonite,17,138,46,Johto,64,228,252,Ice,Water
145,Mewtwo,199,67,55,Johto,175,242,191,Fairy,DNE
146,Mew,55,152,88,Unova,241,34,102,Ghost,Bug
147,Chikorita,256,132,34,Alola,31,26,10,Water,Steel
148,Bayleef,43,142,94,Kanto,205,183,112,Flying,Dragon
149,Meganium,54,23,8,Unova,215,218,252,Fairy,Ground
150,Cyndaquil,14,73,65,Kalos,59,22,81,Rock,Psychic
151,Quilava,24,24,237,Unova,117,73,57,Ground,DNE
152,Typhlosion,123,104,199,Hoenn,179,243,52,Bug,Fighting
153,Totodile,220,249,49,Kanto,36,116,151,Ground,Dragon
154,Croconaw,72,201,68,Johto,31,150,237,Electric,Dragon
155,Feraligatr,126,15,173,Sinnoh,1,117,67,Ground,Bug
156,Sentret,111,68,241,Paldea,166,160,207,Fire,Psychic
157,Furret,58,226,246,Paldea,82,88,64,Ground,Psychic
158,Hoothoot,147,114,5,Hoenn,187,46,4,Fighting,Ice
159,Noctowl,18,40,135,Johto,33,197,196,Ground,Fire
160,Ledyba,171,185,74,Paldea,71,211,57,Normal,DNE
161,Ledian,153,193,83,Unova,170,133,84,Psychic,Fire
162,Spinarak,122,78,46,Galar,17,25,35,Psychic,Dragon
163,Ariados,189,251,126,Hoenn,10,10,96,Steel,Dark
164,Crobat,188,129,62,Kanto,133,39,203,Normal,DNE
165,Chinchou,120,26,9,Galar,255,115,197,Steel,Water
166,Lanturn,249,243,241,Hoenn,26,202,99,Normal,Steel
167,Pichu,48,68,3,Alola,89,52,253,Fire,Rock
168,Cleffa,151,256,86,Kanto,114,245,214,Psychic,Ice
