Star Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
gam 6437,A0.25III,7007.482709103963,8.290309589885421,4.180623416538742,0.8637675635119024,2.894073938957125,7.138998822634531
bet 464,W8.5,5188.775910902114,15.1749508158913,6.284029760473279,2.498425827627129,0.5023592603302296,11.38521226115492
CoRoT 6768,B9.75VI,5204.635991747427,5.724563099514924,3.1517784521136174,-0.9990392934474193,5.045470470823195,11.13598784073265
omi-377,L4.25,3056.9464338426933,33.64246104625609,6.374813081734754,-0.17785513540271064,5.252529764501116,4.116949003817753
omi 1335,M9.25,5311.733105489978,18.28280142339601,7.323584197649277,0.6081631556069902,2.9844520422698273,11.676793797352364
gam-1278,F5.75IV,6165.411254730674,48.10708795976531,3.8552440733234747,1.2974280260819726,2.2033896685532603,10.022518257799224
alf-3739,D7.5,5853.582613616663,37.329541548522876,5.982268347019898,-1.276657673703745,2.440683837775735,12.164437471788121
kap-414,M3.75VI-II,5535.571038868106,37.12963802340454,9.257540013984018,1.7705960424999756,3.437966107665561,4.384744867581355
iot 838,M,5116.51037485345,28.11513529358251,3.8681416843113583,-1.543672639495074,1.873900239111711,7.154118154274496
CoRoT-9088,B7.25I,3817.475741514925,38.35850522274023,2.012903538748205,1.3745861917502364,1.8548847368121297,8.991322626650812
nu 64604,K3.75,5705.232422144273,28.566079985244837,10.303476561520156,-0.9287264269001247,3.6723543286629003,7.414303760421216
ups 59,T7.75,6568.308653504534,22.410936026913628,4.628170310313328,0.6025522216667838,2.6446497576237813,2.827934334568038
xi 3025,L8.25V,3863.548494294294,6.118628514743925,3.2912169273884,1.6149929015357165,2.423098281530124,12.6916885542654
CoRoT-1192,W0.25VI/M8.5III,4539.733494016608,15.751912502963908,2.4035293010263334,-0.6807649116746385,3.533731602277154,9.253951321515926
WASP 1817,F5II-A0.25III,5440.219497702112,12.486551452593547,7.358702630494932,-1.5959938055646608,0.9671123230122305,6.257210203327572
mu2-1201,F5.75IV-,4727.038412168221,27.96289524428603,3.7577688632707895,0.4025114762700354,3.4817784877741556,7.815195459025311
psi1-1516,G3III-B,7080.599062984275,20.618308534491973,6.394883167491596,0.47781284201800983,4.468116798731369,6.951454127510132
gam-3370,B6.25IV,3561.838789254327,21.024011057079576,5.199022458680183,-0.029862094190641536,3.4410626829789654,9.392456489896345
bet 2053,T6.25II,6548.908649785821,30.96944216909113,4.954249464719951,-0.9637367921678095,3.550332231553225,4.969920728069383
BD-2087,L5IV/,4300.689873637142,17.09726238689498,2.737600215062359,-1.0515592850184803,4.087174130972872,5.90720742049028
psi1-5498,G6.75IV/II,5983.079247793246,54.656693845339205,6.762281131029218,-0.7084121949670918,0.9909438997069628,0.9165689714437191
2MASS-34486,G9.5IV,6874.6095355436955,30.919290692453757,1.373244379907332,-3.317829579884577,5.970600146765143,8.982915009464124
CoRoT 62,L4.25,5860.099183633828,29.334917956124933,10.995113971258268,2.0004790264672083,4.36008260001072,11.569514685860746
BD 29,A8.25VI/K3.75,9105.627975511334,16.37019385589393,2.6980410745735086,-1.0724320411474308,6.798945270503264,10.026943091098541
psi1 87,A6.75VI-,2899.7387108205558,17.95074075792452,10.5448786906286,-1.3928335793288786,3.4112375540584208,3.9345308569888933
mu-7431,B9,850.2620611031307,20.24383977829672,9.52525274199758,-1.2747357311651044,2.903043916231594,3.8313442522790737
kap-2672,M6.25IV,4387.8168138385245,9.938236029066069,5.8426396833913,-1.3877547170665323,2.5290590370308124,7.148347478942797
eps 3632,M8.5,3465.511849662902,18.171678369713007,6.961723861127036,0.11074413056317206,5.23776905860144,8.767284890110886
Kepler 565,W1.5VI,5617.32371888122,18.477870768061024,6.825835842360577,1.7590599920505272,4.080487230585889,1.750566565479179
WASP 2205,M8.5,4522.022650194112,3.861892736955074,5.6623587489612035,-0.2917253843821889,4.550800277120378,11.274131391078207
BD-573,K8,4000.1340556439436,21.24000861498763,9.59228692169426,0.11794751298811545,1.0561909760184784,5.349057222203053
2MASS 77347,A4.5,2622.3120856120318,27.128388782476513,4.887458088157137,-1.3563793781439508,4.486468056297775,5.905905638997756
2MASS 5517,A2,3225.280686795634,24.753311290791075,5.2725277241902075,0.005611587145741448,4.440421971264215,14.49611050043655
mu2 3271,T9.25V/T6.25II,5825.572402718697,14.424896839032023,4.8939510826948895,-1.2163641142869146,2.538133826093269,7.692071809829545
Kepler 4464,M8.5III-III,3449.2433314022883,45.30272636877089,0.4043046303987934,-1.0713811991936588,2.9855454580401135,5.461078224773895
bet 5227,FIII,4770.812909401755,14.326072266839986,5.3095878835582235,1.8623558936923625,1.4779024756745138,1.9249498786118027
nu-5187,G1.75III,5441.270125195753,44.96217782828782,5.210209436448419,0.09003922851968449,5.690361114409405,12.37924921102872
nu 6501,D-III,7210.103334349521,45.74880734793002,6.741300354988562,-0.8578316890441908,3.2465517178139858,6.3373192842607775
mu2 55,M7.75III,2564.2519142151223,6.545344137531163,7.112711588426094,1.0990593927820416,4.221493094893977,3.8684022142464407
BD-4676,W1.5VI,4095.6021431236295,3.494452628761369,4.189749677117739,0.3205346946838243,4.567226896947769,6.025503209162532
CoRoT-20,W6.5,6610.552030756925,36.5736480528258,1.7116011448635415,-1.2708315997671744,4.586163810606566,14.42180681913964
tau 5342,A3.5II,6009.333434530565,25.32119758786881,9.844329131588253,1.8692620712820076,0.8210632521097971,5.292073485835862
BD-9316,M2.5III,6720.799725520803,42.29842563476974,8.642639884072985,-1.4533769438287139,3.8832922633679487,4.4979266536427644
