,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Normal,1.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,2.0,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,2.0
Fire,2.0,2.0,0.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,2.0
Water,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,2.0
Electric,0.5,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,2.0,0.5,1.0,1.0,1.0,1.0
Grass,0.0,0.5,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,0.5,1.0,0.5,1.0,1.0
Ice,2.0,1.0,2.0,0.5,2.0,1.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,2.0,2.0,1.0
Fighting,2.0,1.0,2.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0
Poison,1.0,0.5,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0
Ground,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,2.0,0.5,0.5,1.0,2.0,1.0,1.0,0.5,0.5
Flying,1.0,1.0,0.5,2.0,0.5,0.5,1.0,1.0,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Psychic,0.0,0.0,1.0,0.5,0.5,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5
Bug,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,0.5,2.0
Rock,2.0,0.5,0.5,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,0.0
Ghost,0.5,1.0,0.5,1.0,0.5,1.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.5,1.0
Dragon,2.0,2.0,0.5,0.0,0.5,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5
Dark,0.5,1.0,0.5,0.5,2.0,1.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0
Steel,0.5,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,0.5,1.0,1.0,0.5
Fairy,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,1.0,0.5,1.0,2.0
