,Name,Attack,Defense,HP,Region,Sp. Atk,Sp. Def,Speed,Type 1,Type 2
0,Bulbasaur,42,242,248,Unova,213,2,216,Steel,Rock
1,Ivysaur,105,52,132,Johto,116,199,9,Fairy,DNE
2,Venusaur,48,204,59,Alola,63,179,107,Fire,Grass
3,Charmander,99,93,14,Kanto,141,24,119,Bug,Ghost
4,Charmeleon,188,76,200,Kanto,210,204,216,Water,DNE
5,Charizard,195,112,96,Sinnoh,11,247,167,Electric,Flying
6,Squirtle,70,14,34,Kalos,22,206,119,Ice,Electric
7,Wartortle,116,181,140,Unova,119,152,179,Fairy,Flying
8,Blastoise,238,218,136,Sinnoh,173,97,86,Fighting,Water
9,Caterpie,2,43,72,Sinnoh,63,26,209,Dark,Grass
10,Metapod,214,40,239,Hoenn,106,61,137,Psychic,Normal
11,Butterfree,237,44,109,Johto,157,59,132,Grass,DNE
12,Weedle,246,50,117,Kanto,246,76,146,Ground,Normal
13,Kakuna,144,160,61,Johto,225,78,157,Fighting,Rock
14,Beedrill,243,105,121,Alola,81,31,57,Grass,Bug
15,Pidgey,195,39,174,Hoenn,155,223,223,Poison,Ice
16,Pidgeotto,165,244,202,Johto,188,76,66,Rock,Dragon
17,Pidgeot,183,180,249,Johto,230,116,164,Steel,Rock
18,Rattata,91,166,151,Galar,222,191,112,Fire,Ghost
19,Raticate,10,210,158,Hoenn,13,174,154,Poison,Water
20,Spearow,90,87,123,Sinnoh,173,108,251,Dragon,DNE
21,Fearow,135,33,184,Hoenn,23,128,226,Rock,DNE
22,Ekans,124,119,121,Kalos,229,224,63,Dragon,Ground
23,Arbok,62,51,64,Kalos,183,27,111,Dragon,Flying
24,Pikachu,241,227,3,Kanto,137,78,98,Water,Normal
25,Raichu,47,100,191,Kanto,70,9,217,Psychic,DNE
26,Sandshrew,11,33,209,Johto,77,163,239,Electric,DNE
27,Sandslash,64,54,4,Kanto,150,28,164,Dark,Water
28,Nidorina,115,48,3,Sinnoh,89,219,87,Rock,Ghost
29,Nidoqueen,252,30,52,Hoenn,131,57,197,Dark,Fairy
30,Nidorino,211,176,187,Sinnoh,189,159,23,Flying,Dark
31,Nidoking,197,79,65,Kanto,152,103,86,Steel,Electric
32,Clefairy,142,93,220,Hoenn,123,71,241,Normal,Water
33,Clefable,112,27,133,Alola,70,136,169,Dark,Grass
34,Vulpix,166,138,32,Kalos,84,136,58,Flying,Ground
35,Ninetales,116,169,177,Unova,80,45,232,Ghost,Poison
36,Jigglypuff,65,239,43,Kanto,161,41,206,Normal,Water
37,Wigglytuff,83,113,156,Hoenn,131,25,251,Flying,Electric
38,Zubat,162,84,158,Johto,41,236,110,Ghost,Rock
39,Golbat,251,82,95,Galar,249,156,117,Fighting,Flying
40,Oddish,214,82,245,Kalos,86,162,249,Ice,DNE
41,Gloom,166,113,246,Kalos,157,237,101,Fighting,Grass
42,Vileplume,152,138,115,Johto,44,43,213,Fairy,DNE
