Stellar Mass [Solar mass],Stellar Age [Gyr],Stellar Radius [Solar Radius],Stellar Effective Temperature [K],Spectral Type,Star Name,Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)]
3.567032459608683,8.990592351425109,5.93896177503704,5913.657154138536,D5.75I,omi-6570,-1.5895350615281048,4.942486231003501
2.267472860240514,5.337099601147981,35.14994068529231,4148.631751567162,T5.25,gam 6247,2.1310071240635464,1.7222884515813668
1.540626222513489,8.990698727855214,36.00696407988166,5548.702952735995,D3.75IV,CoRoT-1278,-0.4777042358370069,5.4830698488971965
1.2797821802192508,8.595119186113097,30.550296220875207,5159.042852401621,M3.25IV,eps 6516,1.26013996035314,4.198372223049214
4.804888215305061,5.777062708719297,22.734422786929755,7488.2736832656465,B4.75V,omi-101,-2.112284253502146,3.7328020337011583
2.620199167722016,1.323931520061433,48.85576277000144,5626.66507997793,G8.75IV,ome 5452,-1.5346795591622886,2.942536114943788
0.4324627895642088,11.840638309040028,25.514013258990342,5361.449160501272,B1I,iot-9126,2.485641198546788,4.35471136450527
1.2194202957814049,4.6310445005739735,53.22225542177328,6752.328187678408,F8.5IV,CoRoT-9126,-0.4276577601234,1.769280725887446
2.6839718916604456,8.736140722369809,35.664942301986244,4866.373035667858,GII-K9.5V,BD 646,-2.124224151998781,2.4173210951512454
5.638945310688545,6.369948774688967,30.77797124823638,3681.838953144456,D1.25II,eps 1178,-1.9368909501754248,3.9852852429647454
1.460743116318581,4.798401022806296,18.724465925676643,4099.974604360802,B5,TOI-272,-0.4643038401712528,2.3196479525728604
1.9814418556996427,9.972608574803308,33.86564090498857,5768.568483865353,B1I/L2.5V,kap 6232,-2.705371536346264,5.391022806485217
4.202000646914391,8.666657486538718,22.892381360343343,4842.15269940065,F3.75VI-VI,ups-7876,0.747539363530773,5.877798775146087
4.337205339373538,5.421122005613087,13.347524768140516,4352.903868374156,G8.5I,Kepler-4830,0.8657517237005199,5.787122105466107
3.176137545101818,3.2229905302896737,28.07030458647182,4374.152757131767,A6.5IV-II,rho-5142,-0.8188490499819052,3.2503135149714906
2.550227823708938,4.944566853210588,9.351344966968195,8816.088925330934,T9.75II,kap-92,-0.7419981172023165,5.092677351188986
1.0480818271583805,11.068478252151056,10.860326085897116,5294.797587097856,F6.5,omi 96703,0.8326119631593978,3.9016013436519295
1.7838414336373578,0.8642019192857404,44.36305036363957,4655.914729042896,B1,tau-8631,3.0354710498760147,4.45966540179532
2.298520964225096,6.596627937244503,33.70453581521454,4749.5632836634,D1.25II/T7.25,EPIC-6774,0.1192130096967281,5.799693937827555
1.202086660384712,10.409186401392423,26.953057021525314,5101.487725708693,L9IV,tau 8615,-0.0527734219106232,3.566437166848707
1.5737025133349245,8.102633303680049,27.96497811760038,5019.500741454022,T9.75II,EPIC 23507,-2.308829013087594,4.499355479192871
4.876118913608507,10.027153074495924,30.99385552319413,6427.1465830685975,T4VI,HD 4696,0.6283093412030225,3.1736124792932383
5.96816388232539,6.5953380059107545,9.85886725553724,5471.107642994363,G8.75IV-B3.5VI,gam1-751,0.5337586189654231,3.19493001721332
4.355169898080979,5.500486641838637,44.391179844200906,5562.311887139591,F3.5III,nu-272,-0.1507258261695383,2.861560388923005
3.472696296994799,8.875857177549664,17.7018337003763,6016.525606394229,D1.5I-T7.25,iot-210,-0.781326338767711,3.680412617187286
0.2516022474425443,11.329778302596267,27.48078113906116,5931.267539017546,K9.5II,GJ 2425,0.1395879479856165,4.683198208782276
0.8443871150653723,5.911230838356224,42.51713822534635,8717.812117333895,F4.75,mu-7321,0.1160488450054197,4.527308277346116
5.989242143119043,1.56381948591856,18.901481897718813,3325.862227649279,T1.25/I,kap 1008,-1.2785503794726265,3.674150046660588
0.7972860115774438,5.6883801675484005,51.16300130434704,6415.009092494252,B5,iot-5056,-0.4856533043663344,5.081717196346924
2.3800716410572798,8.05446956857899,21.97538599512238,4966.619662155581,B9.75VI,mu2 5023,-0.9979075766797154,3.557393113939249
4.305540089553099,7.46224843173583,19.98564655507716,6087.958185920506,B8.25,mu-91079,-0.4946015788359348,5.007517119664078
2.267746224828882,10.626936728768454,35.99444133661958,4885.049230173331,M6.75IV,kap 8747,-2.364939778365972,3.4746710020119376
1.1982015292336867,10.216076756706636,44.64366864243481,3122.249251494841,D0.25III,Kepler 7126,-1.219678798709252,3.3637107387329133
5.417836688943067,5.470618634719193,22.036224539205023,6193.465068805173,M0.5VI,gam1-638,-0.496195818222687,1.759660694215658
1.5331916196572613,6.824946854512352,21.722029865171947,7157.402578163905,WII,2MASS 8533,-0.0841553467357651,2.1615466941056525
2.964035493777449,5.635654566471446,17.072486183662367,4397.499554156606,WV,kap 8452,-1.5839701166399134,2.4984241449090705
0.6840742328293163,12.222046035826168,58.19441593853,8466.339862712131,T4.25IV,Kepler 7894,-1.173289591094424,4.763817085144495
2.525894845309928,11.60407257543666,34.96708833676671,4167.641085560802,L0.5III,gam 9071,-0.0994721112918828,4.761814873091586
4.171425085284371,9.30146131464038,34.7624632947784,4760.499826891853,K8/II,bet 5624,-3.1307448337408177,4.210566850687081
4.788632783775327,9.700112030034168,25.36510884870148,4614.13306314914,D1.25II/T7.25,psi1 2357,1.7114160368442224,4.258830187984545
2.630619470068202,9.087198206738812,50.20754603973755,4223.748119242151,G8.75IV,kap 7101,-0.4189117991533988,1.8450619739097385
1.6066041070699746,1.6370859775913038,14.274562848640931,5170.468021136544,F3.75VI,mu 5452,0.5287971992781346,2.8609025007713256
2.982463853217511,11.225620035870993,14.19898607342924,4715.252659199604,W2VI-M9IV,psi1 9589,-0.5069448708480533,3.8670949980562215
5.6352024514404855,0.2116738969502067,27.235552652754063,4441.4581969385545,AIII,kap 8696,0.4162229544523808,5.746013402728893
1.231974766755641,4.201240087211772,26.13409073469544,2215.5693567079315,T4VI-I,HD 8615,1.7253195912555903,6.247089145690137
6.427453504907994,8.354392102073303,29.27962788965887,5110.3793685503815,A0.75IV,HD 4878,-2.2841588635534,2.8260870752178326
2.465385675260992,12.102617561886198,25.542253722144828,4978.154351068883,F4.75,psi1-8327,0.6310218198027553,4.47850386356587
